Iteration 107 : 71.2142857143 % Training, 70.375 % Testing
Iteration 108 : 71.2142857143 % Training, 70.375 % Testing
Iteration 109 : 71.2142857143 % Training, 70.375 % Testing
Iteration 110 : 71.2142857143 % Training, 70.375 % Testing
Iteration 111 : 71.2142857143 % Training, 70.375 % Testing
Iteration 112 : 71.2142857143 % Training, 70.375 % Testing
Iteration 113 : 71.2142857143 % Training, 70.375 % Testing
Iteration 114 : 71.2142857143 % Training, 70.375 % Testing
Iteration 115 : 71.2142857143 % Training, 70.375 % Testing
Iteration 116 : 71.2142857143 % Training, 70.375 % Testing
Iteration 117 : 71.2142857143 % Training, 70.375 % Testing
Iteration 118 : 71.2142857143 % Training, 70.375 % Testing
Iteration 119 : 71.2142857143 % Training, 70.375 % Testing
Iteration 120 : 71.2142857143 % Training, 70.375 % Testing
Iteration 121 : 71.2142857143 % Training, 70.375 % Testing
Iteration 122 : 71.2142857143 % Training, 70.375 % Testing
Iteration 123 : 71.2142857143 % Training, 70.375 % Testing
Iteration 124 : 71.2142857143 % Training, 70.375 % Testing
Iteration 125 : 71.2142857143 % Training, 70.375 % Testing
Iteration 126 : 71.2142857143 % Training, 70.375 % Testing
Iteration 127 : 71.2142857143 % Training, 70.375 % Testing
Iteration 128 : 71.2142857143 % Training, 70.375 % Testing
Iteration 129 : 71.2142857143 % Training, 70.375 % Testing
Iteration 130 : 71.2142857143 % Training, 70.375 % Testing
Iteration 131 : 71.2142857143 % Training, 70.375 % Testing
Iteration 132 : 71.2142857143 % Training, 70.375 % Testing
Iteration 133 : 71.2142857143 % Training, 70.375 % Testing
Iteration 134 : 71.2142857143 % Training, 70.375 % Testing
Iteration 135 : 71.2142857143 % Training, 70.375 % Testing
Iteration 136 : 71.2142857143 % Training, 70.375 % Testing
Iteration 137 : 71.2142857143 % Training, 70.375 % Testing
Iteration 138 : 71.2142857143 % Training, 70.375 % Testing
Iteration 139 : 71.2142857143 % Training, 70.375 % Testing
Iteration 140 : 71.2142857143 % Training, 70.375 % Testing
Iteration 141 : 71.2142857143 % Training, 70.375 % Testing
Iteration 142 : 71.2142857143 % Training, 70.375 % Testing
Iteration 143 : 71.2142857143 % Training, 70.375 % Testing
Iteration 144 : 71.2142857143 % Training, 70.375 % Testing
Iteration 145 : 71.2142857143 % Training, 70.375 % Testing
Iteration 146 : 71.2142857143 % Training, 70.375 % Testing
Iteration 147 : 71.2142857143 % Training, 70.375 % Testing
Iteration 148 : 71.2142857143 % Training, 70.375 % Testing
Iteration 149 : 71.2142857143 % Training, 70.375 % Testing
Iteration 150 : 71.2142857143 % Training, 70.375 % Testing
Iteration 151 : 71.2142857143 % Training, 70.375 % Testing
Iteration 152 : 71.2142857143 % Training, 70.375 % Testing
Iteration 153 : 71.2142857143 % Training, 70.375 % Testing
Iteration 154 : 71.2142857143 % Training, 70.375 % Testing
Iteration 155 : 71.2142857143 % Training, 70.375 % Testing
Iteration 156 : 71.2142857143 % Training, 70.375 % Testing
Iteration 157 : 71.2142857143 % Training, 70.375 % Testing
Iteration 158 : 71.2142857143 % Training, 70.375 % Testing
Iteration 159 : 71.2142857143 % Training, 70.375 % Testing
Iteration 160 : 71.2142857143 % Training, 70.375 % Testing
Iteration 161 : 71.2142857143 % Training, 70.375 % Testing
Iteration 162 : 71.2142857143 % Training, 70.375 % Testing
Iteration 163 : 71.2142857143 % Training, 70.375 % Testing
Iteration 164 : 71.2142857143 % Training, 70.375 % Testing
Iteration 165 : 71.2142857143 % Training, 70.375 % Testing
Iteration 166 : 71.2142857143 % Training, 70.375 % Testing
Iteration 167 : 71.2142857143 % Training, 70.375 % Testing
Iteration 168 : 71.2142857143 % Training, 70.375 % Testing
Iteration 169 : 71.2142857143 % Training, 70.375 % Testing
Iteration 170 : 71.2142857143 % Training, 70.375 % Testing
Iteration 171 : 71.2142857143 % Training, 70.375 % Testing
Iteration 172 : 71.2142857143 % Training, 70.375 % Testing
Iteration 173 : 71.2142857143 % Training, 70.375 % Testing
Iteration 174 : 71.2142857143 % Training, 70.375 % Testing
Iteration 175 : 71.2142857143 % Training, 70.375 % Testing
Iteration 176 : 71.2142857143 % Training, 70.375 % Testing
